GET /mobileshop/reports/inventory -> PERMISSIONS.CORE.REPORT.INVENTORY_VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/profit/summary -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/profit -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/top-products -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/repairs -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/repair-metrics -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/gstr-1/b2b -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/gstr-1/b2c -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/gstr-2 -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/gstr-1/export -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/gstr-2/export -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/payables-aging -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/receivables-aging -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/receivables-aging/export -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/receivables-aging/top-delinquent -> PERMISSIONS.CORE.REPORT.EXPORT (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/loyalty/liability -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/warranties/expiring -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/warranties/active -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/daily-sales -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/daily-sales/today -> UNPROTECTED (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/daily-sales/comparison -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
GET /mobileshop/reports/daily-sales/export -> PERMISSIONS.CORE.REPORT.VIEW (Module: report, Controller: MobileShopReportsController)
POST /vouchers -> PERMISSIONS.MOBILE_SHOP.VOUCHER.CREATE (Module: voucher, Controller: VouchersController)
GET /vouchers -> PERMISSIONS.MOBILE_SHOP.VOUCHER.VIEW (Module: voucher, Controller: VouchersController)
GET /vouchers/:id -> PERMISSIONS.MOBILE_SHOP.VOUCHER.VIEW (Module: voucher, Controller: VouchersController)
POST /vouchers/:id/cancel -> PERMISSIONS.MOBILE_SHOP.VOUCHER.CANCEL (Module: voucher, Controller: VouchersController)
GET /vouchers/summary -> PERMISSIONS.MOBILE_SHOP.VOUCHER.VIEW (Module: voucher, Controller: VouchersController)
POST /partner/auth/login -> PUBLIC (Module: none, Controller: PartnerAuthController)
GET /partner/auth/profile -> PUBLIC (Module: none, Controller: PartnerAuthController)
PATCH /partner/auth/profile -> PUBLIC (Module: none, Controller: PartnerAuthController)
POST /partner/auth/change-password -> PUBLIC (Module: none, Controller: PartnerAuthController)
POST /partner/auth/forgot-password -> PUBLIC (Module: none, Controller: PartnerAuthController)
POST /partner/auth/reset-password -> PUBLIC (Module: none, Controller: PartnerAuthController)
POST /partner/auth/request-payout -> PUBLIC (Module: none, Controller: PartnerAuthController)
GET /partner/auth/notifications -> PUBLIC (Module: none, Controller: PartnerAuthController)
PATCH /partner/auth/notifications/read -> PUBLIC (Module: none, Controller: PartnerAuthController)
POST /partners/apply -> PUBLIC (Module: partner, Controller: PartnersController)
GET /partners/dashboard/stats -> PUBLIC (Module: partner, Controller: PartnersController)
GET /partners -> PERMISSIONS.CORE.PARTNER.VIEW (Module: partner, Controller: PartnersController)
PATCH /partners/:id/approve -> PERMISSIONS.CORE.PARTNER.MANAGE (Module: partner, Controller: PartnersController)
PATCH /partners/:id/suspend -> PERMISSIONS.CORE.PARTNER.MANAGE (Module: partner, Controller: PartnersController)
POST /partners/promo/generate -> PERMISSIONS.CORE.PARTNER.MANAGE (Module: partner, Controller: PartnersController)
GET /partners/promo -> PERMISSIONS.CORE.PARTNER.VIEW (Module: partner, Controller: PartnersController)
POST /partners/promo/apply -> PERMISSIONS.CORE.PARTNER.APPLY (Module: partner, Controller: PartnersController)
PATCH /partners/:id/payout -> PERMISSIONS.CORE.PARTNER.MANAGE (Module: partner, Controller: PartnersController)
